,date,PriceUSD,AdrActCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1MCnt,CapMrktCurUSD,CapRealUSD,DiffLast,DiffMean,FeeMedUSD,FeeTotUSD,FlowInExUSD,FlowOutExUSD,GasUsedTx,GasUsedTxMean,HashRate,RevHashNtv,RevHashRateNtv,RevHashRateUSD,SplyAdrBalUSD1M,TxCnt,TxTfrValMedUSD
9,2015-08-08,1.19999,1208,9958,10267,9550,10115,8111,86768712.520746,15004648.395467112,1606016380751,1586123528941.25,0.0014918208836549,81.71928308652747,1033887.5478856306,16985.166175909697,376006093,130512.354390837,0.0964831071616326,3.360252578352,290325.82276963553,348388.08406533493,16618398.429523364,2881,1.19999
10,2015-08-09,1.19999,1113,10043,10411,9573,10222,8091,86801326.18646318,17784185.661488015,1741399466631,1709479787484.64,0.0014676004098846,16.918598654349676,641431.2959116865,112711.28645151974,38863003,29242.2896914974,0.101359674382084,3.105047688841,268276.1203158485,321928.66161781515,16826777.527524278,1329,15.5991466340281
11,2015-08-10,1.19999,1430,10145,10572,9611,10348,8101,86834706.72078975,18781375.929245412,1948102094734,1837695763267.62,0.0014739026984995,37.3978616746101,1055334.8611019927,213563.03725211133,74070061,36362.3274423171,0.111855484194767,2.881581597157,248968.649994376,298759.89030675124,17206476.058499012,2037,0.718002376597
12,2015-08-11,0.99,2697,10188,10706,9614,10429,8081,71666977.5726102,18691143.03031576,2171897473895,2036390797503.48,0.0012057852181013,11.198334100159556,451343.7498080808,175212.6284530463,163481740,32940.1047753375,0.124449902409336,2.607691056966,225304.50732183584,223051.4622486175,15518741.29850566,4963,0.053992818
13,2015-08-12,1.288,1219,10296,10893,9654,10574,8105,93274715.49833024,19836901.84148856,2248237602936,2207079742289.72,0.0016023615313117,41.97204621683853,474325.57109006634,189129.71296017928,70102332,34431.4007858546,0.130915032416523,2.422719656492,209322.97832090483,269607.9960773254,18512537.758888457,2036,12.88
14,2015-08-13,1.8848,1606,10449,11145,9717,10757,8125,136547211.2614199,22435295.68857473,2419921828013,2336979708057.89,0.0022807884131238,46.98649793842079,1287942.8842881704,498075.6678780708,88234087,31046.4767769177,0.143056636363579,2.28906475826,197775.19511365407,372766.6877502152,21475681.50568105,2842,18.838576
15,2015-08-14,1.79504416247808,1893,10568,11400,9713,10932,8065,130100550.62356696,23944152.832940143,3177173581368,2671253150471.51,0.0021722021983633,25.767561177572137,2101767.1472059363,430030.6159753945,78746522,24809.8683049779,0.179594595227737,2.005614982291,173285.13446993972,311054.4690744944,22275840.577500246,3174,21.87503721923418
16,2015-08-15,1.78222244301578,1601,10684,11620,9793,11078,8102,129222078.65185182,29244297.675601147,3636757923666,3378028425874.26,0.0021560626018978,15.748774414381868,937762.5877965525,460222.9077783292,59565914,26079.6471103327,0.210530124619289,1.567993518578,135474.64000510465,241445.94387658092,19026067.540484294,2284,19.550116429478386
17,2015-08-16,1.53307377556984,1542,10808,11802,9857,11229,8120,111198807.19005358,29373394.191504784,3884083612249,3631632144442.79,0.001851648446908,10.236698355913084,1011471.889686007,243490.3768098957,58241191,23869.3405737705,0.215717629260323,1.454083264366,125632.79404123152,192604.34189617887,18957532.7684258,2440,12.688184360421229
18,2015-08-17,1.29638,1522,10854,11955,9908,11325,8144,94067093.68848464,24678554.54957592,4207278821566,3908024035252.58,0.0015689153384074,9.907988412665965,384132.5865309078,266064.4180864541,60515132,24090.4187898089,0.241920987638493,1.345640845251,116263.36902968344,150721.50634270103,16579223.033052947,2512,10.70728810773302
19,2015-08-18,1.08418656925774,1544,10906,12122,9904,11442,8144,78698415.4988737,24982878.238285728,4329807603837,4377694725368.53,0.0013071959107864,12.908402639643366,510252.81653092394,272483.80426074105,66816413,26790.8632718524,0.250772424488451,1.208059985984,104376.38278903205,113163.47236757328,16658871.821565304,2494,8.541733299490467
20,2015-08-19,1.24,1592,11007,12297,9955,11574,8158,90042355.9131052,25875465.570335746,4447080996921,4419573021824.62,0.001505408184194,19.134378830155473,285419.2316404343,383759.6149261949,91746712,28264.5446703635,0.265572407379485,1.189667453266,102787.2679621542,127456.2122730712,17474659.10237668,3246,7.262153946858668
21,2015-08-20,1.5218,1378,11333,12675,10079,11930,8184,110537252.03254616,27725043.03626736,4358975163151,4469109431846.1,0.0018025534750976,10.43280177341095,102258.96247616244,161094.30346062622,63112713,27404.5649153278,0.208179649440934,1.171079819579,101181.29641158356,153977.69687914787,18798089.349898007,2303,7.609
22,2015-08-21,1.43588,1613,11170,12546,10028,11779,8194,104334703.90861835,27631832.49465076,4543159200971,4415252643654.76,0.001507674,11.278897311669873,293027.5445532356,309805.49226875807,106379973,27144.6728757336,0.260000349573678,1.188513027282,102687.52555718731,147446.96419705413,17500137.112891443,3919,7.1794
23,2015-08-22,1.4,1594,11245,12675,10057,11868,8200,101766142.230522,27929833.37807639,5127285198053,4828340997895.12,0.001612746268938,59.56604056141544,126588.86709173604,130813.65665548948,90744195,25354.6227996647,0.294632621132977,1.08393839412,93652.27725200192,131113.18815280267,17597440.866004296,3579,6.177823023022
24,2015-08-23,1.35,1794,11324,12844,10086,11991,8211,98167082.2446105,28086536.4089084,5052173588916,5138351075672.98,0.0014175,10.867186358417433,146413.7769454854,198798.3499698686,117802449,28115.1429594272,0.29808919024565,1.019754245258,88106.76679026659,118944.13516685992,17613466.772435874,4190,5.3100129015
25,2015-08-24,1.23804,1622,11378,12939,10126,12072,8250,90059598.58597623,27778736.69918479,5270732444669,5179118882691.49,0.001299942,10.989196401127472,156464.58953156107,175035.44393953498,97648912,22032.6967509025,0.310769917558956,1.01831013486,87981.99565192062,108925.2298969038,17553377.31403461,4432,3.740244866690353
26,2015-08-25,1.27119,1779,11444,13051,10167,12143,8256,92505038.58104803,28177358.81590061,5416196196676,5173287673222.9,0.0013347495,10.49971900732226,128595.73032404765,74040.82022478747,114480057,25513.7189659015,0.305265964761222,1.014004718088,87610.0076428253,111368.9656154831,17578535.281833906,4487,4.7386422808731
27,2015-08-26,1.18,1715,11478,13123,10194,12185,8267,85899946.1831364,28028408.177186728,5821461040988,5587304091731.81,0.001239,8.788320548697243,160371.1609028474,126122.0257929456,99511209,23943.9867661213,0.323633506262941,0.935036024307,80787.11250013883,95328.79275016382,17657839.446900316,4156,3.4757546520761
28,2015-08-27,1.13646,1751,11554,13237,10222,12285,8271,82758264.32220154,27901450.274536647,6061793170675,5925309861486.0,0.001193283,9.85420265972043,104874.62390968933,87506.10897155709,147888097,26455.8313059034,0.322899375027665,0.879670168035,76003.50251820793,86374.94047184258,17658539.440378837,5590,2.893834493731619
29,2015-08-28,1.295,1697,11586,13316,10236,12326,8271,94334692.67729536,28601012.55295649,6309007190651,6250868351995.99,0.00135975,12.853067139804242,116708.9153298002,90279.20781844817,111903559,23519.0329970576,0.33660581293319,0.833314864208,71998.40426754815,93237.93352647485,17626434.488943495,4758,3.512971513915675
30,2015-08-29,1.179,1537,11612,13372,10269,12358,8294,85911192.23873067,28436543.41024135,6728846144873,6657649139909.99,0.00123795,6.49328534922657,56131.901810501695,56066.623087199114,99107570,23944.810340662,0.333576122685001,0.781739892147,67542.32668146295,79632.40315744482,17702206.94105659,4139,3.83039337186
31,2015-08-30,1.32,1768,11664,13471,10278,12432,8302,96213877.4843136,29092923.088965584,6969565602067,6780904668947.92,0.001386,7.437109340011054,170422.46536129183,106108.94333875117,102643603,22450.4818460192,0.326130346124924,0.761568791475,65799.54358348015,86855.39753019378,17714693.29262216,4572,2.9441205856407575
32,2015-08-31,1.30651,1662,11700,13537,10296,12480,8305,95258420.90117249,29111665.1989736,7466284315477,7213764433229.34,0.0013718355,9.700227673824289,204919.04379690863,172541.1112307542,129040364,24834.558121632,0.344156834755417,0.716352924376,61892.89266607868,80863.68319715845,17650584.26311141,5196,2.1636738093999752
33,2015-09-01,1.36,1709,11737,13607,10322,12535,8312,99186069.9417928,29888016.028420355,7744921922844,7641499013978.46,0.001428,10.66752700401638,300388.348735882,127806.65178112246,140186844,27204.8988938482,0.348326154268698,0.676085920935,58413.82356881597,79442.80005358973,16876963.995815963,5153,2.299950422446664
34,2015-09-02,1.30828087083577,1645,11798,13712,10348,12611,8339,95438206.2736662,29689046.544602934,9388467648838,8283953338039.25,0.0013736949143775,10.667375959471808,94512.08505436136,140690.68914294543,139367393,26827.2171318576,0.343209216883069,0.620479412635,53609.42125164344,70136.1803201017,16834404.866539843,5195,1.7520382458990502
35,2015-09-03,1.23357,1570,11850,13784,10379,12674,8347,90009539.28848416,29525180.532223713,7073560351653,8354596884230.87,0.0012952485,8.598014570799139,162809.3930027233,86767.35969405195,126323875,26444.18568139,0.327088889869291,0.615272899595,53159.57852503806,65576.0612811312,17030591.746050343,4777,1.6567609154807246
36,2015-09-04,1.23357,1583,11892,13869,10421,12729,8360,90038012.39702791,29642562.80092965,6229957047055,6469670080246.46,0.0012952485,12.007393191817687,121731.14407544768,52593.75200796027,167169621,29629.496809642,0.332865484808825,0.802918907458,69372.1936043436,85575.45686451012,17104327.651157,5642,1.9403228514108444
37,2015-09-05,1.36287107188779,1641,11945,13929,10439,12774,8366,99510599.2896975,30149349.618762676,6333624444484,6235386210268.61,0.0014310146254821,12.458315643760349,63620.44413380354,78044.50398146611,159443421,28889.9113969922,0.355329698211909,0.835107424375,72153.28146603066,98335.62005183058,17105440.59139176,5519,2.391607697258965
38,2015-09-06,1.34,1732,11921,13951,10439,12776,8381,97875723.9411782,30217814.355689064,6317516078127,6305025872317.3,0.001407,10.794353564251434,124086.614269967,76746.34597022849,142769611,25859.3752943307,0.363368192852201,0.833773748914,72038.05190616024,96530.98955425472,17125318.951103903,5521,3.0189840478
39,2015-09-07,1.27561,1791,11970,14041,10459,12851,8400,93205053.90959167,30078957.541402567,6215989018136,6339141092888.29,0.0013393905,11.807584972391307,115109.27158098183,53701.189177674816,170954165,29981.4389687829,0.354665488602261,0.831173303479,71813.37342060613,91605.85726905939,17132223.18736091,5702,2.6632408944987462
40,2015-09-08,1.26349378725891,1697,11987,14086,10482,12879,8393,92352468.31674197,30178453.125346236,6101115187404,6077004932538.92,0.0013266684766218,13.114972394838473,155690.55548732844,77197.49110014716,159613715,28390.9133760228,0.346384777167368,0.865391518278,74769.82717917746,94471.21211531312,17177175.758007005,5622,3.023734039088592
41,2015-09-09,1.21,1712,12034,14159,10514,12956,8401,88474432.4434333,31164600.632861312,6275668103821,6202066849531.53,0.0012705,11.907127293687305,1218602.4905198617,76325.05490559645,173606036,30978.9500356888,0.361394179029549,0.846812061243,73164.56209137574,88529.12013056465,17163672.702558804,5604,2.4423667907342
42,2015-09-10,1.1857,1676,12049,14206,10517,12976,8420,86728986.76817092,31088624.268130586,6355160382386,6289587949042.92,0.001244985,9.397629562413993,84962.15608285651,73400.47071060402,141533806,26499.4956000749,0.364349878063079,0.840288686661,72600.94252753175,86082.9375548944,17119464.580022756,5341,2.85096711752045
43,2015-09-11,0.927715708357686,1839,12077,14298,10523,13023,8441,67883786.49239528,30135880.860268135,6817242565107,6561787910853.37,0.0009741014937755,8.235080146062103,158622.94894487155,222343.25699780835,160019709,24770.8527863777,0.390750041844249,0.807074108442,69731.20296942515,64690.73235741384,15188468.470310459,6460,1.9280381819494588
44,2015-09-12,1.14639,1693,12142,14361,10572,13097,8470,83915118.41634575,31196120.0105898,6954324825068,6832639915711.84,0.0012037095,13.017067224702467,62590.7019250536,53640.345505561585,186314190,33294.1726233024,0.397402837821797,0.76928012303,66465.80262981892,76195.73147679812,17140313.930148933,5596,2.332980544686629
45,2015-09-13,0.88557,1760,12192,14489,10610,13192,8506,64846414.26779794,30154131.130066503,6933257412384,7022050607216.24,0.0009298485,8.482632095052542,33495.22503651067,45761.29058465128,177583552,29318.7307247812,0.404061403207807,0.749937155677,64794.570250524856,57380.127576757295,14112007.094635729,6057,1.503351836394676
46,2015-09-14,0.955,1781,12207,14576,10607,13243,8496,69954905.87778465,30460216.796258416,6589374921913,6626273317244.02,0.00100275,9.455978740522381,99378.77977743807,60357.43601376397,171636301,30803.3562455133,0.372284107600736,0.795826223502,68759.38571052984,65665.213353556,15174224.801308496,5572,1.9299950833
47,2015-09-15,0.95,1646,12305,14697,10693,13374,8546,69612984.3729435,27656223.223862007,6265614006381,6418523305692.0,0.0009975,8.00564728801914,121619.9433874292,106426.7593391318,148568242,27466.8593085598,0.359772032082706,0.824330499728,71222.1551764613,67661.04741763824,14570934.133847695,5409,1.9
48,2015-09-16,0.93634,1680,12338,14773,10716,13431,8573,68636665.64764872,27665025.665369455,6225329753414,6179108814558.4,0.000983157,14.182383434669193,107610.31814233305,61406.66265780088,146153300,24889.8671662125,0.354623505016758,0.859455822857,74256.98309488369,69529.78355106339,14590896.461740755,5872,1.9246835920365748
